path,compatibility,groups,faces,triangles,quads,otherFaces,missingMaterialLibraries,undefinedMaterialUses,facesWithoutTextureCoordinates,facesWithoutNormals,invalidVertexFaces,invalidTextureCoordinateFaces,invalidNormalFaces,mixedTriangleQuadGroups
machines/turbinegas.obj,BAKE_CANDIDATE,1,3634,3634,0,0,0,0,0,0,0,0,0,0
machines/turbofan.obj,BAKE_CANDIDATE,3,2876,2876,0,0,0,0,0,0,0,0,0,0
machines/uv_lamp.obj,BAKE_CANDIDATE,3,82,82,0,0,0,0,0,0,0,0,0,0
machines/vacuum_distill.obj,BAKE_CANDIDATE,1,1998,1998,0,0,0,0,0,0,0,0,0,0
machines/watz_pump.obj,BAKE_CANDIDATE,1,588,588,0,0,0,0,0,0,0,0,0,0
machines/wood_burner.obj,BAKE_CANDIDATE,1,396,396,0,0,0,0,0,0,0,0,0,0
machines/zpe.obj,BAKE_CANDIDATE,1,304,304,0,0,0,0,0,0,0,0,0,0
mine_fat.obj,BAKE_CANDIDATE,1,440,440,0,0,0,0,0,0,0,0,0,0
minerRocket.obj,BAKE_CANDIDATE,1,134,134,0,0,0,0,0,0,0,0,0,0
missileDoomsday.obj,BAKE_CANDIDATE,1,236,236,0,0,0,0,0,0,0,0,0,0
missileShuttle.obj,NEEDS_MATERIAL_REVIEW,5,1150,1150,0,0,1,0,0,0,0,0,0,0
missile_abm.obj,BAKE_CANDIDATE,1,758,758,0,0,0,0,0,0,0,0,0,0
missile_assembly.obj,BAKE_CANDIDATE,1,32,32,0,0,0,0,0,0,0,0,0,0
missile_atlas.obj,NEEDS_MATERIAL_REVIEW,1,477,477,0,0,1,0,0,0,0,0,0,0
missile_huge.obj,BAKE_CANDIDATE,1,602,602,0,0,0,0,0,0,0,0,0,0
missile_micro.obj,BAKE_CANDIDATE,1,416,416,0,0,0,0,0,0,0,0,0,0
